Review,Kategori
"kak,knapa coin saya tidak bisa bertambah/tidk bisa di refras saldonya,setelah dapat transferan ya, di aplikasi ada pemberitahuan tidak ada jaringan,padahal jaringan data/wifi bagus sinyalnya.? sebelum nya tidak ad masalah,dengan aplikasinya.",Kualitas Teknis & Aplikasi
"driver suka tidak mengabari bisa jemput atau tidak. driver juga menghindari pembatalan agar rangking tdk berkurang tetapi membiarkan costumer membatalkan padahal driver yang tidak bisa menjemput. Aplikasi juga sering eror/ngestuck. Walau udh pake aplikasi versi terbaru, tapi tetep lemott. padahal kuota aman dan jaringan ada.",Interaksi & Pelayanan Driver
Tolong perjelas perbedaan antara GoFood biasa dan GoFood Katering. Tampilannya cukup membingungkan sehingga saya sempat mengira sedang memesan makanan biasa. Akan lebih baik jika ada penjelasan yang lebih jelas atau konfirmasi tambahan sebelum pengguna masuk ke menu katering.,Respons Pengembang & CS
"kok gojek dan gopay aneh sekali dihp saya. pada saat membuka aplikasi menggunakan wifi tidak bisa padahal jaringan wifi saya bagus, harus dipancing dulu menggunakan kuota internet baru bisa menggunakan aplikasinya. tolong dioptimalkan aplikasinya",Kualitas Teknis & Aplikasi
"sebelumnya mohon maaf atas rating nya, kendala untuk melakukan transaksi Qris kenapa tidak bisa ya? sudah coba berulang dan tetap tidak muncul barcode untuk di scan nya. dan lagi kenapa saldo gopay selalu meload lama, tidak secepat dulu, ketika di refresh saldo terbaru muncul. alhasil saya tidak jadi belanja keperluan sehari hari saya. mohon pihak developer menangani permasalahan itu. terimakasih.",Kualitas Teknis & Aplikasi
jelek' banget aplikasi nya... bisanya sudah isi tujuan jemputan sudah benar eh malah diganti enggak jelas banget..mana udah kejadian 2 kali dengan biayanya lumayan. Saya sudah buat laporan dengan bukti yang lengkap tidak mendapatkan respon sama sekali,Kualitas Teknis & Aplikasi
"Kemarin sempat seliweran postingan menarik di salah satu grup FB. Ada customer yang kasih bintang 1 ke driver karena kecewa pesan GoRide Comfort tapi dapat motor Vario dan kesulitan bawa koper. Yuk, kita bahas dari dua sudut pandang biar enggak ada salah paham lagi: 𝟭. 𝗦𝗶𝘀𝗶 𝗖𝘂𝘀𝘁𝗼𝗺𝗲𝗿 (𝗠𝗶𝘀𝗸𝗼𝗻𝘀𝗲𝗽𝘀𝗶 𝗙𝗶𝘁𝘂𝗿) Banyak yang mengira GoRide Comfort itu otomatis dapat motor besar (seperti NMAX/PCX). Padahal, aturan Comfort itu fokus pada tahun unit yang lebih muda dan cc mesin (",Interaksi & Pelayanan Driver
"ini gimana ya gojek, saya pengen ubah metode pembayaran tapi selalu aja ""Yah, ada sedikit masalah"" masalahnya apaa??? internet saya bagus, data lancar, akun nya ga kenapa kenapa tapi selalu aja. giliran di coba lagi malah sama aja, MENGECEWAKAN SEKALI.",Kualitas Teknis & Aplikasi
"Aplikasi Tolol,Penipu,Pemeras customer,kita di tawarin berlangganan gojek plus biar dapat potongan ongkir dari ongkir nya yg gak ngotak itu,giliran udh berlangganan tau nya gak bisa di pake di banyak resto,mana mau minta bantuan susah bgt,yg dia kasih cuma opsi pembatalan berlangganan(tanpa refund),untuk masalah/kendala mereka gak mau tau,untuk sekedar menghubungi CS aja sulit nya minta ampun,kita gak bisa ngetik masalah nya,cuma di suruh pilih pesan otomatis yg gak sesuai permasalahan kita",Interaksi & Pelayanan Driver
"Menurut Saya, Ini Bagus Sih, Aksesibel Untuk Kami Para Penyandang Disabilitas Tunanetra . Saran Sedikit Aja Untuk Tombol Angkat Panggilannya Lebih Diperbaiki Lagi, Agar Kami Bisa Mudah Untuk Mengangkat Panggilan Dari Driver, Karena Tombolnya Kurang Akses Untuk Kami Yang Menggunakan Pembaca Layar .",Interaksi & Pelayanan Driver
